Num,Label,Value,Parm_StDev
271,Size_DblN_ascend_se_FshLL(2)_DEVmult_2011,0.00809925,0.953366
272,Size_DblN_ascend_se_FshLL(2)_DEVmult_2012,-0.25713,0.940943
273,Size_DblN_ascend_se_FshLL(2)_DEVmult_2013,-0.181377,0.920214
274,Size_DblN_ascend_se_FshLL(2)_DEVmult_2014,-0.146407,0.954261
275,Size_DblN_ascend_se_FshLL(2)_DEVmult_2015,0.292393,0.915884
276,Size_DblN_ascend_se_FshLL(2)_DEVmult_2016,0.0821524,0.944254
277,Size_DblN_ascend_se_FshLL(2)_DEVmult_2017,0.0909763,0.908781
278,Size_DblN_ascend_se_FshLL(2)_DEVmult_2018,-0.189813,0.915218
279,Size_DblN_ascend_se_FshLL(2)_DEVmult_2019,0.00837153,0.932652
280,Size_DblN_ascend_se_FshLL(2)_DEVmult_2020,-0.104568,0.940185
281,Size_DblN_ascend_se_FshLL(2)_DEVmult_2021,-0.172347,0.932603
282,Size_DblN_ascend_se_FshLL(2)_DEVmult_2022,-0.377135,0.970633
283,Size_DblN_descend_se_FshLL(2)_DEVmult_1991,-1.52E-07,1
284,Size_DblN_descend_se_FshLL(2)_DEVmult_1992,-8.61E-08,1
285,Size_DblN_descend_se_FshLL(2)_DEVmult_1993,-2.62E-07,1
286,Size_DblN_descend_se_FshLL(2)_DEVmult_1994,-2.23E-07,1
287,Size_DblN_descend_se_FshLL(2)_DEVmult_1995,-1.52E-07,1
288,Size_DblN_descend_se_FshLL(2)_DEVmult_1996,-1.27E-07,1
289,Size_DblN_descend_se_FshLL(2)_DEVmult_1997,6.22E-09,1
290,Size_DblN_descend_se_FshLL(2)_DEVmult_1998,-6.44E-08,1
291,Size_DblN_descend_se_FshLL(2)_DEVmult_1999,1.42E-07,1
292,Size_DblN_descend_se_FshLL(2)_DEVmult_2000,1.47E-07,1
293,Size_DblN_descend_se_FshLL(2)_DEVmult_2001,7.67E-07,1
294,Size_DblN_descend_se_FshLL(2)_DEVmult_2002,-2.20E-09,1
295,Size_DblN_descend_se_FshLL(2)_DEVmult_2003,-2.63E-08,1
296,Size_DblN_descend_se_FshLL(2)_DEVmult_2004,3.95E-08,1
297,Size_DblN_descend_se_FshLL(2)_DEVmult_2005,-5.33E-08,1
298,Size_DblN_descend_se_FshLL(2)_DEVmult_2006,-1.23E-07,1
299,Size_DblN_descend_se_FshLL(2)_DEVmult_2007,-1.30E-07,1
300,Size_DblN_descend_se_FshLL(2)_DEVmult_2008,6.77E-07,1
301,Size_DblN_descend_se_FshLL(2)_DEVmult_2009,4.86E-07,1
302,Size_DblN_descend_se_FshLL(2)_DEVmult_2010,1.01E-06,1
303,Size_DblN_descend_se_FshLL(2)_DEVmult_2011,-9.86E-09,1
304,Size_DblN_descend_se_FshLL(2)_DEVmult_2012,2.79E-08,1
305,Size_DblN_descend_se_FshLL(2)_DEVmult_2013,4.99E-08,1
306,Size_DblN_descend_se_FshLL(2)_DEVmult_2014,5.34E-08,1
307,Size_DblN_descend_se_FshLL(2)_DEVmult_2015,1.41E-07,1
308,Size_DblN_descend_se_FshLL(2)_DEVmult_2016,1.25E-07,1
309,Size_DblN_descend_se_FshLL(2)_DEVmult_2017,-8.82E-08,1
310,Size_DblN_descend_se_FshLL(2)_DEVmult_2018,-8.00E-08,1
311,Size_DblN_descend_se_FshLL(2)_DEVmult_2019,-1.28E-08,1
312,Size_DblN_descend_se_FshLL(2)_DEVmult_2020,-9.06E-08,1
313,Size_DblN_descend_se_FshLL(2)_DEVmult_2021,-5.91E-08,1
314,Size_DblN_descend_se_FshLL(2)_DEVmult_2022,-6.66E-09,1
